web-scraper-order,web-scraper-start-url,lien,lien-href,marque_model,annee,prix,reference,adresse,proprietaire
"1720696888-1","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134587","Ford Fusion 2013 Dakar","Année: 2013","30 000 F CFA","Ref.: 134587","Sicap Liberté","KINGCARS Service"
"1720696891-2","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-134586","Ford Explorer 2012 Dakar","Année: 2012","40 000 F CFA","Ref.: 134586","Sicap Liberté","KINGCARS Service"
"1720696893-3","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","9","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134581","Hyundai Elantra 2017 Dakar","Année: 2017","35 000 F CFA","Ref.: 134581","Yoff","Abdia Sn"
"1720696896-4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","6","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/journey/annonce-134585","Dodge Journey 2012 Dakar","Année: 2012","30 000 F CFA","Ref.: 134585","Yoff","A vos services"
"1720696899-5","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","3","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134584","Hyundai Elantra 2016 Dakar","Année: 2016","20 000 F CFA","Ref.: 134584","Yoff","A vos services"
"1720696902-6","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","5","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx5/annonce-134579","Mazda cx5 2013 Dakar","Année: 2013","30 000 F CFA","Ref.: 134579","Yoff","A vos services"
"1720696905-7","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","6","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-134578","Chevrolet Equinox 2012 Dakar","Année: 2012","30 000 F CFA","Ref.: 134578","Yoff","A vos services"
"1720696908-8","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","5","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/dart/annonce-134577","Dodge Dart 2013 Dakar","Année: 2013","20 000 F CFA","Ref.: 134577","Yoff","A vos services"
"1720696910-9","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","6","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-134576","Citroen C3 2019 Dakar","Année: 2019","25 000 F CFA","Ref.: 134576","Yoff","A vos services"
"1720696913-10","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-134575","Mazda Cx-5 2013 Dakar","Année: 2013","30 000 F CFA","Ref.: 134575","Yoff","A vos services"
"1720696916-11","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","3","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/juke/annonce-134574","Nissan Juke 2012 Dakar","Année: 2012","25 000 F CFA","Ref.: 134574","Yoff","A vos services"
"1720696919-12","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134580","Ford Fusion 2017 Dakar","Année: 2017","25 000 F CFA","Ref.: 134580","Ouest Foire","Logivit Express"
"1720696922-13","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","6","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134582","Ford Fusion 2017 Dakar","Année: 2017","30 000 F CFA","Ref.: 134582","Point-E","Ousmane diagne"
"1720696924-14","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","5","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134593","Hyundai Sonata 2014 Dakar","Année: 2014","25 000 F CFA","Ref.: 134593","Médina","Kena Impact Groupes"
"1720696927-15","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","5","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/sprinter/annonce-134592","Mercedes Sprinter 2016 Dakar","Année: 2016","15 000 F CFA","Ref.: 134592","Hann Bel-Air","Kena Impact Groupes"
"1720696930-16","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/transit/annonce-134591","Ford Transit 2016 Dakar","Année: 2016","60 000 F CFA","Ref.: 134591","Médina","Kena Impact Groupes"
"1720696936-17","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","7","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134589","Ford ESCAPE-SE 2013 Dakar","Année: 2013","40 000 F CFA","Ref.: 134589","Sicap Liberté","KINGCARS Service"
"1720696938-18","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-134588","Peugeot 308 2012 Dakar","Année: 2012","25 000 F CFA","Ref.: 134588","Sicap Liberté","KINGCARS Service"
"1720696941-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hiace/annonce-134599","Toyota Hiace 2020 Dakar","Année: 2020","NC","Ref.: 134599","Mermoz Sacré-Coeur","Mapauto sn"
"1720696944-20","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/viano/annonce-134598","Mercedes Viano 2010 Dakar","Année: 2010","NC","Ref.: 134598","Mermoz Sacré-Coeur","Mapauto sn"
"1720696947-21","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","2","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/508/annonce-134597","Peugeot 508 2016 Dakar","Année: 2016","NC","Ref.: 134597","Mermoz Sacré-Coeur","Mapauto sn"
"1720696950-22","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","3","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/renault/master/annonce-134618","Renault Master 2017 Dakar","Année: 2017","NC","Ref.: 134618","Yoff","A vos services"
"1720696952-23","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","2","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/juke/annonce-134619","Nissan Juke 2012 Dakar","Année: 2012","25 000 F CFA","Ref.: 134619","Yoff","A vos services"
"1720696955-24","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","4","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-134682","Volkswagen Jetta 2016 Dakar","Année: 2016","20 000 F CFA","Ref.: 134682","Plateau","Senegal TCS ventes et locations"
"1720696958-25","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/land-rover/range-rover-sport/annonce-134738","Land Rover range-rover-sport 2020 Dakar","Année: 2020","150 000 F CFA","Ref.: 134738","Mermoz Sacré-Coeur","Mapauto sn"
"1720696961-26","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/classe-s-500/annonce-134739","Mercedes Classe S 500 2018 Dakar","Année: 2018","170 000 F CFA","Ref.: 134739","Mermoz Sacré-Coeur","Mapauto sn"
"1720696964-27","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","2","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/viano/annonce-134740","Mercedes Viano 2010 Dakar","Année: 2010","NC","Ref.: 134740","Mermoz Sacré-Coeur","Mapauto sn"
"1720696967-28","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","2","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/rogue/annonce-134801","Nissan ROGUE 2016 Dakar","Année: 2016","40 000 F CFA","Ref.: 134801","Hann Bel-Air","PAPA ."
"1720696970-29","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","6","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/flex-limited/annonce-134803","Ford Flex-limited 2019 Dakar","Année: 2019","60 000 F CFA","Ref.: 134803","Hann Bel-Air","PAPA ."
"1720696973-30","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134671","Ford ESCAPE-SE 2014 Dakar","Année: 2014","40 000 F CFA","Ref.: 134671","Ouest Foire","Optimus Debugger"
"1720696975-31","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","1","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-134842","Ford ESCAPE-SE 2017 Dakar","Année: 2017","35 000 F CFA","Ref.: 134842","Grand-Yoff","Transcar via Sénégal"
"1720696978-32","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","5","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-134856","Ford Edge 2013 Dakar","Année: 2013","35 000 F CFA","Ref.: 134856","Mermoz Sacré-Coeur","A-T Auto"
"1720696981-33","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","3","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-134894","Volkswagen Jetta 2018 Dakar","Année: 2018","20 000 F CFA","Ref.: 134894","Grand-Dakar","A vos services"
"1720696984-34","https://dakar-auto.com/senegal/location-de-voitures-19?&page=7","7","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-134908","Hyundai Sonata 2015 Dakar","Année: 2015","40 000 F CFA","Ref.: 134908","Yoff","Abdia ..."
