web-scraper-order,web-scraper-start-url,liens,liens-href,marque_model,annee,kilometrage,boite de vitesse,carburant,prix,reference,adresse de vente,proprietaire
"1720698367-1","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136430","Ford Fusion 2015 Dakar","Année: 2015","107 km","Automatique","Essence","5 200 000 F CFA","Ref.: 136430","Sicap Foire","Mouhamed Mbaye"
"1720698370-2","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-136434","Toyota Rav 4 2010 Dakar","Année: 2010","175000 km","Manuelle","Diesel","6 000 000 F CFA","Ref.: 136434","Dieuppeul Derklé","Rebondy Michel"
"1720698373-3","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/outlander/annonce-136433","Mitsubishi Outlander 2020 Dakar","Année: 2020","12000 km","Automatique","Essence","12 000 000 F CFA","Ref.: 136433","Ouakam","SUNUYÃ‹F. ORG"
"1720698375-4","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136432","Ford Edge 2018 Dakar","Année: 2018","46559 km","Automatique","Essence","18 500 000 F CFA","Ref.: 136432","Mermoz Sacré-Coeur","Dakar Auto Sales"
"1720698378-5","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-135534","Toyota Rav 4 2008 Dakar","Année: 2008","14508 km","Automatique","Essence","4 300 000 F CFA","Ref.: 135534","Hann Maristes","Akhmadou bamba Diop"
"1720698381-6","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/mitsubishi/l200/annonce-136439","Mitsubishi L200 2011 Dakar","Année: 2011","290000 km","Manuelle","Diesel","6 500 000 F CFA","Ref.: 136439","Dieuppeul Derklé","Aida DIOP"
"1720698390-7","https://dakar-auto.com/senegal/voitures-4?&page=100","6","https://dakar-auto.com/senegal/voitures/occasion/citadines/renault/sandero-stepway/annonce-136438","Renault Sandero-Stepway 2015 Dakar","Année: 2015","112000 km","Manuelle","Essence","4 300 000 F CFA","Ref.: 136438","Mamelles","Mory Samb"
"1720698394-8","https://dakar-auto.com/senegal/voitures-4?&page=100","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/cruze/annonce-136437","Chevrolet Cruze 2010 Dakar","Année: 2010","1 km","Automatique","Essence","2 600 000 F CFA","Ref.: 136437","Parcelles Assainies","Thiam Teranga"
"1720698397-9","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/spark/annonce-136436","Chevrolet Spark 2012 Dakar","Année: 2012","98000 km","Manuelle","Essence","2 450 000 F CFA","Ref.: 136436","Mermoz Sacré-Coeur","samba fall"
"1720698399-10","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/bmw/serie-5/annonce-136444","Bmw Serie 5 2013 Dakar","Année: 2013","114000 km","Automatique","Essence","10 000 000 F CFA","Ref.: 136444","Sud Foire","Alioune THIAM"
"1720698402-11","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136440","Ford Focus 2016 Dakar","Année: 2016","73 km","Automatique","Essence","4 300 000 F CFA","Ref.: 136440","Point-E","Mouhamed Mbaye"
